 Szybkie, ilość elementow:10 ;6; srednia: 6.4; mediana:7
Przez scalanie, ilość elementow: 10 ;4; srednia:6.4; mediana:7
 Przez kopcowanie, ilość elementow:10 ;7; srednia:6.4; mediana:7
 Szybkie, ilość elementow:1000 ;983; srednia: 5.42; mediana:5
Przez scalanie, ilość elementow: 1000 ;728; srednia:5.42; mediana:5
 Przez kopcowanie, ilość elementow:1000 ;1508; srednia:5.42; mediana:5
 Szybkie, ilość elementow:10000 ;11657; srednia: 5.4603; mediana:5
Przez scalanie, ilość elementow: 10000 ;8558; srednia:5.4603; mediana:5
 Przez kopcowanie, ilość elementow:10000 ;18308; srednia:5.4603; mediana:5
 Szybkie, ilość elementow:100000 ;155737; srednia: 6.08993; mediana:7
Przez scalanie, ilość elementow: 100000 ;138491; srednia:6.08993; mediana:7
 Przez kopcowanie, ilość elementow:100000 ;255166; srednia:6.08993; mediana:7
 Szybkie, ilość elementow:50000 ;88796; srednia: 5.49092; mediana:6
Przez scalanie, ilość elementow: 50000 ;58568; srednia:5.49092; mediana:6
 Szybkie, ilość elementow:50000 ;87870; srednia: 5.49092; mediana:6
Przez scalanie, ilość elementow: 50000 ;59451; srednia:5.49092; mediana:6
 Przez kopcowanie, ilość elementow:50000 ;111557; srednia:5.49092; mediana:6
 Szybkie, ilość elementow:100 ;55; srednia: 5.77; mediana:6
Przez scalanie, ilość elementow: 100 ;69; srednia:5.77; mediana:6
 Przez kopcowanie, ilość elementow:100 ;104; srednia:5.77; mediana:6
 Szybkie, ilość elementow:1000 ;1375; srednia: 5.42; mediana:5
Przez scalanie, ilość elementow: 1000 ;767; srednia:5.42; mediana:5
 Przez kopcowanie, ilość elementow:1000 ;1449; srednia:5.42; mediana:5
 Szybkie, ilość elementow:10000 ;12836; srednia: 5.4603; mediana:5
Przez scalanie, ilość elementow: 10000 ;8501; srednia:5.4603; mediana:5
 Przez kopcowanie, ilość elementow:10000 ;18909; srednia:5.4603; mediana:5
 Szybkie, ilość elementow:100000 ;155963; srednia: 6.08993; mediana:7
 Szybkie, ilość elementow:10 ;8; srednia: 6.4; mediana:7
Przez scalanie, ilość elementow: 10 ;5; srednia:6.4; mediana:7
 Przez kopcowanie, ilość elementow:10 ;11; srednia:6.4; mediana:7
 Szybkie, ilość elementow:100 ;57; srednia: 5.77; mediana:6
Przez scalanie, ilość elementow: 100 ;44; srednia:5.77; mediana:6
 Przez kopcowanie, ilość elementow:100 ;106; srednia:5.77; mediana:6
 Szybkie, ilość elementow:1000 ;913; srednia: 5.42; mediana:5
Przez scalanie, ilość elementow: 1000 ;736; srednia:5.42; mediana:5
 Przez kopcowanie, ilość elementow:1000 ;1476; srednia:5.42; mediana:5
 Szybkie, ilość elementow:10000 ;11836; srednia: 5.4603; mediana:5
 Szybkie, ilość elementow:10000 ;12871; srednia: 5.4603; mediana:5
Przez scalanie, ilość elementow: 10000 ;9992; srednia:5.4603; mediana:5
 Przez kopcowanie, ilość elementow:10000 ;18932; srednia:5.4603; mediana:5
